date,symbol,company,sector,sub_industry,headquarters,founded,open,high,low,close,volume,return_1d_pct,return_5d_pct,return_1m_pct,return_1y_pct,avg_volume_30d,volume_vs_30d_avg,high_52w,drawdown_from_52w_high_pct,dip_flag
2021-04-28,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,130.58,131.27,129.39,129.87,107760100.0,-0.6,0.06,10.04,,94042317.0,1.15,138.98,-6.55,False
2021-04-29,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,132.68,133.27,128.78,129.78,151101000.0,-0.07,1.17,11.33,,95347930.0,1.58,138.98,-6.62,False
2021-04-30,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,128.12,129.86,127.43,127.81,109839500.0,-1.51,-2.13,7.62,,94968257.0,1.16,138.98,-8.04,False
2021-05-03,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,128.38,130.35,128.17,128.86,75135100.0,0.82,-1.62,7.76,,91287777.0,0.82,138.98,-7.28,False
2021-05-04,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,127.55,127.84,123.19,124.3,137564700.0,-3.54,-4.87,1.55,,92142857.0,1.49,138.98,-10.56,False
2021-05-05,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,125.62,126.83,124.42,124.55,84000900.0,0.2,-4.1,1.5,,91760650.0,0.92,138.98,-10.39,False
2021-05-06,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,124.34,126.15,123.6,126.14,78128300.0,1.28,-2.8,1.44,,91413910.0,0.85,138.98,-9.24,False
2021-05-07,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,127.44,127.84,126.1,126.81,78973300.0,0.53,-0.78,0.05,,90751530.0,0.87,138.98,-8.76,False
2021-05-10,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,126.03,126.16,123.5,123.54,88071200.0,-2.58,-4.13,-4.46,,90551530.0,0.97,138.98,-11.11,False
2021-05-11,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,120.28,122.98,119.57,122.63,126142800.0,-0.74,-1.35,-3.9,,92062317.0,1.37,138.98,-11.77,False
2021-05-12,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,120.18,121.39,119.06,119.57,112172300.0,-2.49,-4.0,-8.52,,92945663.0,1.21,138.98,-13.97,False
2021-05-13,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,121.33,122.86,121.02,121.71,105861300.0,1.79,-3.51,-5.19,,92530247.0,1.14,138.98,-12.43,False
2021-05-14,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,122.96,124.55,122.57,124.13,81918000.0,1.98,-2.12,-5.08,,92757877.0,0.88,138.98,-10.69,False
2021-05-17,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,123.51,123.62,121.9,122.98,74244600.0,-0.93,-0.46,-5.72,,92277657.0,0.8,138.98,-11.52,False
2021-05-18,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,123.26,123.68,121.52,121.59,63342900.0,-1.12,-0.84,-7.25,,91716710.0,0.69,138.98,-12.51,False
2021-05-19,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,119.95,121.66,119.65,121.44,92612000.0,-0.13,1.56,-6.17,,92021553.0,1.01,138.98,-12.62,False
2021-05-20,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,121.96,124.39,121.84,123.99,76857100.0,2.1,1.87,-4.47,,91621970.0,0.84,138.98,-10.79,False
2021-05-21,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,124.49,124.66,121.94,122.16,79295400.0,-1.48,-1.58,-4.77,,90708927.0,0.87,138.98,-12.1,False
2021-05-24,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,122.72,124.6,122.65,123.78,63092900.0,1.33,0.66,-5.21,,89764690.0,0.7,138.98,-10.93,False
2021-05-25,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,124.49,124.97,123.02,123.59,72009500.0,-0.16,1.64,-5.64,,89122790.0,0.81,138.98,-11.07,False
2021-05-26,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,123.65,124.07,123.12,123.54,56575900.0,-0.04,1.73,-5.45,,88101227.0,0.64,138.98,-11.11,False
2021-05-27,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,123.14,124.31,121.82,122.01,94625600.0,-1.24,-1.59,-6.05,,88277177.0,1.07,138.98,-12.21,False
2021-05-28,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,122.29,122.52,121.3,121.36,71311100.0,-0.53,-0.65,-6.49,,87823467.0,0.81,138.98,-12.68,False
2021-06-01,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,121.82,122.08,120.71,121.04,67637100.0,-0.26,-2.22,-5.3,,86935897.0,0.78,138.98,-12.91,False
2021-06-02,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,121.04,121.97,120.81,121.8,59278900.0,0.63,-1.45,-5.48,,85751450.0,0.69,138.98,-12.36,False
2021-06-03,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,121.43,121.59,119.92,120.32,76229200.0,-1.22,-2.61,-3.21,,85997520.0,0.89,138.98,-13.43,False
2021-06-04,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,120.83,122.87,120.62,122.61,75169300.0,1.9,0.49,-1.56,,85684280.0,0.88,138.98,-11.78,False
2021-06-07,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,122.88,123.02,121.57,122.62,71057600.0,0.01,1.04,-2.79,,85430950.0,0.83,138.98,-11.78,False
2021-06-08,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,123.3,125.11,122.92,123.43,74403800.0,0.67,1.98,-2.66,,85680907.0,0.87,138.98,-11.19,False
2021-06-09,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,123.89,124.42,123.22,123.81,56877900.0,0.31,1.66,0.22,,85376310.0,0.67,138.98,-10.91,False
2021-06-10,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,123.71,124.85,122.65,122.82,71186400.0,-0.8,2.08,0.16,,84157187.0,0.85,138.98,-11.63,False
2021-06-11,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,123.23,124.12,122.81,124.03,53522400.0,0.98,1.16,3.73,,80904567.0,0.66,138.98,-10.76,False
2021-06-14,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,124.49,127.13,123.75,127.08,96906500.0,2.46,3.64,4.41,,80473467.0,1.2,138.98,-8.57,False
2021-06-15,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,126.55,127.19,126.01,126.26,62746300.0,-0.64,2.29,1.72,,80060507.0,0.78,138.98,-9.15,False
2021-06-16,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,126.97,127.48,125.11,126.75,91815000.0,0.39,2.38,3.07,,78535517.0,1.17,138.98,-8.8,False
2021-06-17,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,126.41,129.09,126.27,128.35,96721700.0,1.26,4.5,5.56,,78959543.0,1.22,138.98,-7.65,False
2021-06-18,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,127.3,128.08,126.84,127.06,108953300.0,-1.01,2.44,4.63,,79987043.0,1.36,138.98,-8.58,False
2021-06-21,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,126.9,128.96,125.84,128.85,79663300.0,1.41,1.39,3.92,,80010043.0,1.0,138.98,-7.29,False
2021-06-22,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,128.68,130.58,128.19,130.48,74783600.0,1.27,3.35,6.82,,79567123.0,0.94,138.98,-6.11,False
2021-06-23,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,130.28,130.82,129.75,130.21,60214200.0,-0.21,2.73,5.19,,77369503.0,0.78,138.98,-6.31,False
2021-06-24,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977,130.94,131.13,129.46,129.93,68711000.0,-0.22,1.23,5.13,,75920793.0,0.91,138.98,-6.51,False
